timestamp,wind speed
"2018-12-18",1.8163
"2018-12-19",1.6858
"2018-12-20",1.9972
"2018-12-21",2.3865
"2018-12-22",2.307
"2018-12-23",2.7419
"2018-12-24",2.9654
"2018-12-25",2.9404
"2018-12-26",3.039
"2018-12-27",3.0508
"2018-12-28",2.269
"2018-12-29",2.2634
"2018-12-30",2.7536
"2018-12-31",3.004
"2019-01-01",2.5082
"2019-01-02",2.7397
"2019-01-03",3.2216
"2019-01-04",2.8931
"2019-01-05",3.1925
"2019-01-06",2.6907
"2019-01-07",2.5604
"2019-01-08",2.566
"2019-01-09",3.3223
"2019-01-10",2.8892
"2019-01-11",3.4663
"2019-01-12",3.421
"2019-01-13",3.3384
"2019-01-14",2.6867
"2019-01-15",1.5433
"2019-01-16",1.2521
"2019-01-17",1.8652
"2019-01-18",2.2793
"2019-01-19",2.0375
"2019-01-20",1.8168
"2019-01-21",1.5077
"2019-01-22",2.4238
"2019-01-23",2.5122
"2019-01-24",2.7366
"2019-01-25",2.9115
"2019-01-26",2.797
"2019-01-27",3.0266
"2019-01-28",3.4591
"2019-01-29",3.0898
"2019-01-30",2.9818
"2019-01-31",3.264
"2019-02-01",3.2607
"2019-02-02",3.0013
"2019-02-03",3.1338
"2019-02-04",3.3064
"2019-02-05",3.8024
"2019-02-06",3.3422
"2019-02-07",2.9617
"2019-02-08",3.1797
"2019-02-09",3.892
"2019-02-10",3.8693
"2019-02-11",3.1912
"2019-02-12",3.6408
"2019-02-13",3.611
"2019-02-14",3.0601
"2019-02-15",2.8019
"2019-02-16",2.8297
"2019-02-17",3.0095
"2019-02-18",2.5763
"2019-02-19",2.3795
"2019-02-20",3.3582
"2019-02-21",3.3218
"2019-02-22",3.2129
"2019-02-23",2.2456
"2019-02-24",1.7693
"2019-02-25",2.5222
"2019-02-26",3.5193
"2019-02-27",3.0204
"2019-02-28",3.1006
"2019-03-01",2.3402
"2019-03-02",0.769
"2019-03-03",0.9922
"2019-03-04",2.0899
"2019-03-05",2.6251
"2019-03-06",2.3831
"2019-03-07",1.8494
"2019-03-08",2.6748
"2019-03-09",3.4008
"2019-03-10",3.3057
"2019-03-11",3.1227
"2019-03-12",3.3002
"2019-03-13",3.5162
"2019-03-14",3.6022
"2019-03-15",3.4869
"2019-03-16",3.2809
"2019-03-17",2.916
"2019-03-18",3.2899
"2019-03-19",3.5049
"2019-03-20",3.3436
"2019-03-21",3.0372
"2019-03-22",3.3831
"2019-03-23",3.7028
"2019-03-24",3.3277
"2019-03-25",2.6454
"2019-03-26",2.6366
"2019-03-27",3.1476
"2019-03-28",2.8218
"2019-03-29",2.8863
"2019-03-30",2.9402
"2019-03-31",2.8045
"2019-04-01",2.9104
"2019-04-02",2.6901
"2019-04-03",2.7975
"2019-04-04",2.7088
"2019-04-05",3.0771
"2019-04-06",3.3808
"2019-04-07",2.9621
"2019-04-08",2.2945
"2019-04-09",2.1135
"2019-04-10",2.5878
"2019-04-11",2.739
"2019-04-12",2.9238
"2019-04-13",2.6349
"2019-04-14",2.7811
"2019-04-15",2.9341
"2019-04-16",2.6799
"2019-04-17",2.8091
"2019-04-18",2.4724
"2019-04-19",2.6442
"2019-04-20",2.1653
"2019-04-21",1.5744
"2019-04-22",1.1622
"2019-04-23",0.3422
"2019-04-24",1.2237
"2019-04-25",1.7542
"2019-04-26",1.8054
"2019-04-27",0.9067
"2019-04-28",1.5065
"2019-04-29",2.2663
"2019-04-30",2.6419
"2019-05-01",2.2049
"2019-05-02",2.1048
"2019-05-03",1.9621
"2019-05-04",2.5007
"2019-05-05",2.2187
"2019-05-06",2.0334
"2019-05-07",1.8922
"2019-05-08",1.4504
"2019-05-09",1.7291
"2019-05-10",2.2005
"2019-05-11",2.2052
"2019-05-12",1.9743
"2019-05-13",1.604
"2019-05-14",2.2973
"2019-05-15",2.2315
"2019-05-16",2.2674
"2019-05-17",2.2735
"2019-05-18",1.085
"2019-05-19",1.8096
"2019-05-20",1.7251
"2019-05-21",1.8877
"2019-05-22",1.8126
"2019-05-23",1.3654
"2019-05-24",1.6548
"2019-05-25",1.7444
"2019-05-26",1.7141
"2019-05-27",2.0007
"2019-05-28",2.0362
"2019-05-29",1.6048
"2019-05-30",1.5965
"2019-05-31",1.1393
"2019-06-01",0.4583
"2019-06-02",0.5377
"2019-06-03",0.4582
"2019-06-04",0.6402
"2019-06-05",0.8088
"2019-06-06",0.9815
"2019-06-07",1.2124
"2019-06-08",0.6646
"2019-06-09",0.6171
"2019-06-10",0.6433
"2019-06-11",1.2704
"2019-06-12",1.3038
"2019-06-13",1.3247
"2019-06-14",0.8572
"2019-06-15",0.8661
"2019-06-16",0.9514
"2019-06-17",1.1936
"2019-06-18",1.412
"2019-06-19",0.7559
"2019-06-20",0.5411
"2019-06-21",1.3081
"2019-06-22",0.5585
"2019-06-23",0.3898
"2019-06-24",0.8083
"2019-06-25",1.5932
"2019-06-26",1.3103
"2019-06-27",1.3113
"2019-06-28",0.8596
"2019-06-29",1.1159
"2019-06-30",1.2101
"2019-07-01",1.3784
"2019-07-02",1.5311
"2019-07-03",1.2458
"2019-07-04",0.9589
"2019-07-05",1.6263
"2019-07-06",1.8493
"2019-07-07",1.9387
"2019-07-08",1.8857
