timestamp,precipitation
"Dec 23, 2018",1.225
"Dec 24, 2018",0.223
"Dec 25, 2018",0.166
"Dec 26, 2018",0
"Dec 27, 2018",0
"Dec 28, 2018",0
"Dec 29, 2018",0
"Dec 30, 2018",0
"Dec 31, 2018",0
"Jan 1, 2019",0
"Jan 2, 2019",0
"Jan 3, 2019",0
"Jan 4, 2019",3.71
"Jan 5, 2019",0
"Jan 6, 2019",0
"Jan 7, 2019",0
"Jan 8, 2019",0.618
"Jan 9, 2019",0
"Jan 10, 2019",0
"Jan 11, 2019",0
"Jan 12, 2019",0
"Jan 13, 2019",0
"Jan 14, 2019",0.187
"Jan 15, 2019",3.85
"Jan 16, 2019",5.488
"Jan 17, 2019",0
"Jan 18, 2019",0
"Jan 19, 2019",0
"Jan 20, 2019",0
"Jan 21, 2019",0
"Jan 22, 2019",0.795
"Jan 23, 2019",0
"Jan 24, 2019",0
"Jan 25, 2019",0
"Jan 26, 2019",0
"Jan 27, 2019",0
"Jan 28, 2019",0
"Jan 29, 2019",0.028
"Jan 30, 2019",0
"Jan 31, 2019",0
"Feb 1, 2019",0.563
"Feb 2, 2019",0
"Feb 3, 2019",0
"Feb 4, 2019",0
"Feb 5, 2019",5.552
"Feb 6, 2019",0
"Feb 7, 2019",0
"Feb 8, 2019",0
"Feb 9, 2019",0.189
"Feb 10, 2019",0
"Feb 11, 2019",0
"Feb 12, 2019",0
"Feb 13, 2019",0
"Feb 14, 2019",0
"Feb 15, 2019",0
"Feb 16, 2019",7.166
"Feb 17, 2019",0
"Feb 18, 2019",0
"Feb 19, 2019",0
"Feb 20, 2019",0
"Feb 21, 2019",0
"Feb 22, 2019",0
"Feb 23, 2019",6.994
"Feb 24, 2019",0.128
"Feb 25, 2019",0
"Feb 26, 2019",1.201
"Feb 27, 2019",0
"Feb 28, 2019",0
"Mar 1, 2019",0
"Mar 2, 2019",0
"Mar 3, 2019",17.422
"Mar 4, 2019",1.07
"Mar 5, 2019",0.311
"Mar 6, 2019",0
"Mar 7, 2019",0
"Mar 8, 2019",0
"Mar 9, 2019",0
"Mar 10, 2019",0
"Mar 11, 2019",0
"Mar 12, 2019",0
"Mar 13, 2019",0
"Mar 14, 2019",0
"Mar 15, 2019",0
"Mar 16, 2019",0
"Mar 17, 2019",0
"Mar 18, 2019",0
"Mar 19, 2019",0
"Mar 20, 2019",0
"Mar 21, 2019",0
"Mar 22, 2019",0
"Mar 23, 2019",0
"Mar 24, 2019",0
"Mar 25, 2019",0
"Mar 26, 2019",0
"Mar 27, 2019",0
"Mar 28, 2019",0.341
"Mar 29, 2019",0
"Mar 30, 2019",0
"Mar 31, 2019",0
"Apr 1, 2019",0
"Apr 2, 2019",0
"Apr 3, 2019",0
"Apr 4, 2019",0
"Apr 5, 2019",0
"Apr 6, 2019",0
"Apr 7, 2019",0
"Apr 8, 2019",0
"Apr 9, 2019",0
"Apr 10, 2019",0
"Apr 11, 2019",0
"Apr 12, 2019",0
"Apr 13, 2019",0
"Apr 14, 2019",0
"Apr 15, 2019",0
"Apr 16, 2019",0
"Apr 17, 2019",0
"Apr 18, 2019",0
"Apr 19, 2019",0
"Apr 20, 2019",0
"Apr 21, 2019",13.93
"Apr 22, 2019",9.224
"Apr 23, 2019",12.394
"Apr 24, 2019",17.772
"Apr 25, 2019",19.797
"Apr 26, 2019",21.364
"Apr 27, 2019",18.781
"Apr 28, 2019",0
"Apr 29, 2019",13.275
"Apr 30, 2019",6.345
"May 1, 2019",0
"May 2, 2019",0
"May 3, 2019",0
"May 4, 2019",0
"May 5, 2019",0
"May 6, 2019",0
"May 7, 2019",0
"May 8, 2019",4.238
"May 9, 2019",0.972
"May 10, 2019",3.217
"May 11, 2019",0
"May 12, 2019",0
"May 13, 2019",1.27
"May 14, 2019",0
"May 15, 2019",0
"May 16, 2019",0
"May 17, 2019",9.406
"May 18, 2019",0.942
"May 19, 2019",0
"May 20, 2019",0.463
"May 21, 2019",0
"May 22, 2019",0.817
"May 23, 2019",1.673
"May 24, 2019",0
"May 25, 2019",11.152
"May 26, 2019",7.926
"May 27, 2019",6.318
"May 28, 2019",0
"May 29, 2019",0
"May 30, 2019",3.491
"May 31, 2019",7.443
"Jun 1, 2019",3.324
"Jun 2, 2019",35.742
"Jun 3, 2019",8.469
"Jun 4, 2019",0
"Jun 5, 2019",0.872
"Jun 6, 2019",0.415
"Jun 7, 2019",0
"Jun 8, 2019",0
"Jun 9, 2019",0
"Jun 10, 2019",0
"Jun 11, 2019",0.083
"Jun 12, 2019",0.474
"Jun 13, 2019",0.867
"Jun 14, 2019",0.42
"Jun 15, 2019",0.655
"Jun 16, 2019",0
"Jun 17, 2019",0
"Jun 18, 2019",0
"Jun 19, 2019",0
"Jun 20, 2019",0
"Jun 21, 2019",0
"Jun 22, 2019",0
"Jun 23, 2019",0
"Jun 24, 2019",0
"Jun 25, 2019",0
"Jun 26, 2019",0
"Jun 27, 2019",0
"Jun 28, 2019",0
"Jun 29, 2019",0
"Jun 30, 2019",0
"Jul 1, 2019",0.09
"Jul 2, 2019",0
"Jul 3, 2019",4.851
"Jul 4, 2019",0
"Jul 5, 2019",0
"Jul 6, 2019",1.452
"Jul 7, 2019",0.223
"Jul 8, 2019",0
"Jul 9, 2019",0
"Jul 10, 2019",6.965
"Jul 11, 2019",0
"Jul 12, 2019",0
"Jul 13, 2019",0
"Jul 14, 2019",0
"Jul 15, 2019",0
"Jul 16, 2019",0
"Jul 17, 2019",0
"Jul 18, 2019",0
"Jul 19, 2019",0
