timestamp,P1,P2,humidity,precipitation,temperature ,wind speed
2018-05-23,14.653333333333332,8.99,81.64,0.0,17.0754,1.1586
2018-05-24,14.365,8.895,73.19999999999999,0.0,17.9633,0.671
2018-05-25,21.07,15.615,71.39285714285714,0.0,18.0383,1.6143
2018-05-26,21.35333333333333,16.73,71.35,0.0,17.7321,1.8151
2018-05-27,10.566666666666668,7.085000000000001,65.86666666666667,0.0,17.8509,0.893
2018-05-28,13.65,6.07,68.57499999999999,0.0,17.9398,0.8226
2018-05-29,22.314999999999998,12.67,60.1,0.0,17.1009,0.9906
2018-05-30,18.63,9.43,54.730000000000004,0.0,17.7344,0.9424
2018-05-31,12.692499999999999,7.33,68.72,0.0,17.3538,1.1059
2018-06-01,8.38,4.62,65.10993208828523,6.976,17.8592,0.9542
2018-06-02,8.43,4.77,68.73111111111112,5.558,18.4375,1.1244
2018-06-03,8.83,5.6,70.9,1.089,18.364,1.1446
2018-06-04,12.57,8.6,75.39133427943725,0.702,18.2055,0.8798
2018-06-05,20.8,14.57,80.9645429362881,9.59,17.9258,0.9137
2018-06-06,15.27,10.2,76.49142857142857,5.507,16.984,0.5175
2018-06-07,15.9,10.9,74.24000000000001,6.513,16.3288,1.3438
2018-06-08,18.1,11.6,79.12,0.0,16.8539,1.1816
2018-06-09,23.4,17.405,85.1775,0.0,16.7404,1.0995
2018-06-10,21.65,17.15,79.18387096774194,0.0,17.1444,1.2782
2018-06-11,22.06,15.93,77.24285714285715,0.0,16.9597,1.3671
2018-06-12,13.47,6.77,65.11419624217119,0.0,16.0246,1.0332
2018-06-13,6.73,3.58,73.74291338582677,0.0,17.438,1.1963
2018-06-14,15.37,8.57,78.86,0.0,16.996,1.1079
2018-06-15,15.7,10.83,81.64854191980558,4.444,16.6378,0.9506
2018-06-16,16.7,11.4,67.92709599027947,0.0,17.3754,1.0769
2018-06-17,22.53,18.2325,87.36,0.0,16.6919,1.5631
2018-06-18,16.0,12.37,91.3,0.0,16.3606,1.4983
2018-06-19,14.87,10.77,71.35611510791367,0.0,16.274,0.9646
2018-06-20,29.265,17.95,60.08435126266747,0.0,17.0715,1.6365
2018-06-21,23.67,12.97,69.02,0.0,17.0709,1.6777
2018-06-22,126.58200000000002,54.2,46.2,0.0,17.226,1.3627
2018-06-23,13.2325,7.217499999999999,65.44170403587444,0.313,16.6394,0.3653
2018-06-24,17.634999999999998,11.37,65.65384615384616,0.916,16.8257,0.8765
2018-06-25,24.95,20.97,77.91795900178253,0.0,16.768,1.6515
2018-06-26,44.78,23.41,69.4,0.0,16.4653,1.6719
2018-06-27,78.66499999999999,23.1475,59.19,0.0,16.9503,1.1842
2018-06-28,31.135,20.93,49.4,0.0,16.9773,0.9317
2018-06-29,27.496666666666666,16.73,56.825,0.28,16.5455,1.2342
2018-06-30,25.23,14.235,69.84,0.0,17.0688,1.7167
2018-07-01,13.57,8.15,71.14166666666667,0.0,16.8293,1.7389
2018-07-02,25.189999999999998,14.07,65.93333333333334,0.0,16.581,1.9749
2018-07-03,28.33,15.816666666666666,58.275000000000006,0.0,16.5741,1.9888
2018-07-04,20.17,13.915,77.5,0.0,15.8044,1.6469
2018-07-05,14.907499999999999,10.5,69.38,0.0,15.9757,1.309
2018-07-06,23.62,15.3,60.69467275494673,0.0,15.8486,1.0279
2018-07-07,23.985,17.83,63.96008316008316,0.0,15.6212,1.4298
2018-07-08,11.36,7.125,57.78,0.964,16.1838,1.0154
2018-07-09,16.77,9.6,60.41538461538462,0.0,16.8656,0.8895
2018-07-10,18.53,10.6,62.165333333333336,0.0,16.4257,1.068
